Data;Process_name;Process_pid;Cpu_percent;Cpu_times_user;Cpu_times_system;Memory_percent;Memory_rss;Memory_vms
12.12.2019 15:02:05 ;pycharm64.exe ;9592 ; 0.0 ; 1799.14 ; 264.81 ; 7.37 ; 1197.77 ; 1257.8 
12.12.2019 15:02:07 ;pycharm64.exe ;9592 ; 0.0 ; 1799.14 ; 264.81 ; 7.37 ; 1197.77 ; 1257.8 
12.12.2019 15:02:09 ;pycharm64.exe ;9592 ; 0.0 ; 1799.14 ; 264.81 ; 7.37 ; 1197.77 ; 1257.8 
12.12.2019 15:02:11 ;pycharm64.exe ;9592 ; 0.8 ; 1799.14 ; 264.83 ; 7.37 ; 1197.77 ; 1257.8 
12.12.2019 15:02:13 ;pycharm64.exe ;9592 ; 0.0 ; 1799.14 ; 264.83 ; 7.37 ; 1197.77 ; 1257.8 
