URL;Time;Time_sys
https://www.foxnews.com/;0.137506;0.169161
https://www.netflix.com/ua/;0.94184;1.544705
https://play.google.com/store;0.217089;0.858282
https://www.imdb.com/;0.553596;0.641121
https://www.youtube.com/;0.192677;0.522166
https://www.youtube.com/;0.190688;0.844193
https://www.amazon.com/;Null;0.27537
https://www.google.com/;0.184709;0.191232
https://www.wiktionary.org/;0.195497;0.202168
https://steamcommunity.com/;1.35776;1.363104
https://rottentomatoes.com/;0.626384;0.721005
https://www.foxnews.com/;0.417503;0.716349
https://www.netflix.com/ua/;0.523379;0.650589
https://play.google.com/store;0.201068;0.667372
https://www.imdb.com/;0.601322;0.771989
https://www.youtube.com/;0.185224;0.511353
https://www.youtube.com/;0.285116;0.909643
https://www.amazon.com/;Null;0.253952
https://www.google.com/;0.204399;0.210199
https://www.wiktionary.org/;0.196291;0.201833
https://steamcommunity.com/;0.305632;0.312014
https://rottentomatoes.com/;0.968552;0.977089
https://www.foxnews.com/;0.257339;0.316394
https://www.netflix.com/ua/;3.672041;3.92807
https://play.google.com/store;0.192244;0.552382
https://www.imdb.com/;0.541158;0.747919
https://www.youtube.com/;0.175392;0.813274
https://www.youtube.com/;0.184402;0.310662
https://www.amazon.com/;Null;0.39828
https://www.google.com/;0.195629;0.201371
https://www.wiktionary.org/;0.242536;0.247916
https://steamcommunity.com/;0.368736;0.375991
https://rottentomatoes.com/;0.242405;0.293764
https://www.foxnews.com/;0.22272;0.256127
https://www.netflix.com/ua/;0.564996;0.68998
https://play.google.com/store;0.190946;0.702119
https://www.imdb.com/;0.536816;0.618422
https://www.youtube.com/;0.18807;0.576822
https://www.youtube.com/;0.184747;0.463884
https://www.amazon.com/;Null;0.238042
https://www.google.com/;0.2253;0.231233
https://www.wiktionary.org/;0.218357;0.224839
https://steamcommunity.com/;0.310472;0.316294
https://rottentomatoes.com/;0.22399;0.278763
https://www.foxnews.com/;0.129182;0.162119
https://www.netflix.com/ua/;0.483569;0.611999
https://play.google.com/store;0.191601;0.604335
https://www.imdb.com/;0.639537;0.723559
https://www.youtube.com/;0.190562;0.526367
https://www.youtube.com/;0.185719;0.93631
https://www.amazon.com/;Null;0.221185
https://www.google.com/;0.188135;0.1948
https://www.wiktionary.org/;0.191004;0.195408
https://steamcommunity.com/;0.295035;0.299991
https://rottentomatoes.com/;0.170152;0.237307
https://www.foxnews.com/;0.607377;0.636788
https://www.netflix.com/ua/;0.590025;0.721807
https://play.google.com/store;0.190455;0.540419
https://www.imdb.com/;0.450313;0.605794
https://www.youtube.com/;0.177133;0.456543
https://www.youtube.com/;0.183315;0.364046
https://www.amazon.com/;Null;0.270589
https://www.google.com/;0.166553;0.171925
https://www.wiktionary.org/;0.208195;0.215004
https://steamcommunity.com/;0.319107;0.325591
https://rottentomatoes.com/;0.214898;0.2761
https://www.foxnews.com/;1.150382;1.180823
https://www.netflix.com/ua/;1.026055;1.158893
https://play.google.com/store;0.188742;0.515368
https://www.imdb.com/;0.458638;0.539359
https://www.youtube.com/;0.171825;0.860071
https://www.youtube.com/;0.179296;0.513028
https://www.amazon.com/;Null;0.247454
https://www.google.com/;0.188267;0.193025
https://www.wiktionary.org/;0.177276;0.182428
https://steamcommunity.com/;0.319365;0.32547
https://rottentomatoes.com/;0.239743;0.292137
https://www.foxnews.com/;0.122362;0.155636
https://www.netflix.com/ua/;1.134246;1.266842
https://play.google.com/store;0.190843;1.063813
https://www.imdb.com/;0.432412;0.578168
https://www.youtube.com/;0.342315;0.589187
https://www.youtube.com/;0.17328;0.509309
https://www.amazon.com/;Null;0.276771
https://www.google.com/;0.178416;0.183512
https://www.wiktionary.org/;0.193339;0.199843
https://steamcommunity.com/;0.3725;0.37773
https://rottentomatoes.com/;0.239863;0.291003
https://www.foxnews.com/;0.174138;0.20652
https://www.netflix.com/ua/;0.537928;0.670287
https://play.google.com/store;0.174461;0.494232
https://www.imdb.com/;1.47074;1.562959
https://www.youtube.com/;0.196488;0.504357
https://www.youtube.com/;0.183448;0.461146
https://www.amazon.com/;Null;0.26891
https://www.google.com/;0.196479;0.20282
https://www.wiktionary.org/;0.207717;0.213963
https://steamcommunity.com/;0.309008;0.315516
https://rottentomatoes.com/;0.201365;0.256385
https://www.foxnews.com/;0.129501;0.162775
https://www.netflix.com/ua/;0.573661;0.714902
https://play.google.com/store;0.202933;0.570171
https://www.imdb.com/;0.779618;0.930822
https://www.youtube.com/;0.225889;1.257438
https://www.youtube.com/;0.238012;0.560909
https://www.amazon.com/;Null;0.242461
https://www.google.com/;0.185262;0.191229
https://www.wiktionary.org/;0.192037;0.198616
https://steamcommunity.com/;0.305258;0.311593
https://rottentomatoes.com/;0.190476;0.244603
https://www.foxnews.com/;0.130631;0.163172
https://www.netflix.com/ua/;0.592164;0.716207
https://play.google.com/store;0.233364;0.772709
https://www.imdb.com/;0.648623;0.855177
https://www.youtube.com/;0.192224;0.837126
https://www.youtube.com/;0.201976;0.920821
https://www.amazon.com/;Null;0.471441
https://www.google.com/;0.186524;0.192572
https://www.wiktionary.org/;0.19265;0.198825
https://steamcommunity.com/;0.312734;0.319089
https://rottentomatoes.com/;0.238599;0.291158
https://www.foxnews.com/;0.125434;0.158369
https://www.netflix.com/ua/;0.458703;0.647214
https://play.google.com/store;0.192351;0.574405
https://www.imdb.com/;0.469191;0.602533
https://www.youtube.com/;0.188655;1.170286
https://www.youtube.com/;0.176554;0.494105
https://www.amazon.com/;Null;0.277705
https://www.google.com/;0.192129;0.198372
https://www.wiktionary.org/;0.191947;0.197009
https://steamcommunity.com/;0.359247;0.36292
https://rottentomatoes.com/;0.227663;0.278875
https://www.foxnews.com/;0.15737;0.187882
https://www.netflix.com/ua/;0.544023;0.674805
https://play.google.com/store;0.178194;0.641543
https://www.imdb.com/;0.447112;0.557163
https://www.youtube.com/;0.203781;0.992329
https://www.youtube.com/;0.183034;0.432085
https://www.amazon.com/;Null;0.239324
https://www.google.com/;0.187089;0.193194
https://www.wiktionary.org/;0.18283;0.189766
https://steamcommunity.com/;0.316984;0.322346
https://rottentomatoes.com/;0.20796;0.273961
https://www.foxnews.com/;0.683476;0.691918
https://www.netflix.com/ua/;0.62354;0.785274
https://play.google.com/store;0.182343;0.69211
https://www.imdb.com/;0.446431;0.550876
https://www.youtube.com/;0.178734;0.786731
https://www.youtube.com/;0.173124;0.504085
https://www.amazon.com/;Null;0.247939
https://www.google.com/;0.187683;0.192606
https://www.wiktionary.org/;0.179038;0.182616
https://steamcommunity.com/;0.308274;0.313983
https://rottentomatoes.com/;0.193375;0.244508
https://www.foxnews.com/;0.113748;0.144558
https://www.netflix.com/ua/;0.715274;0.848108
https://play.google.com/store;0.21182;0.827172
https://www.imdb.com/;0.414697;0.497169
https://www.youtube.com/;0.176734;0.85532
https://www.youtube.com/;0.173508;0.831878
https://www.amazon.com/;Null;0.301601
https://www.google.com/;0.191776;0.19518
https://www.wiktionary.org/;0.190632;0.194012
https://steamcommunity.com/;0.357313;0.360616
https://rottentomatoes.com/;0.237839;0.28908
https://www.foxnews.com/;0.12764;0.160951
https://www.netflix.com/ua/;0.565337;0.692172
https://play.google.com/store;0.186071;0.513919
https://www.imdb.com/;0.698684;0.802131
https://www.youtube.com/;0.54064;0.857405
https://www.youtube.com/;0.494051;1.103678
https://www.amazon.com/;Null;0.411912
https://www.google.com/;0.190153;0.196645
https://www.wiktionary.org/;0.184195;0.189808
https://steamcommunity.com/;0.348719;0.352435
https://rottentomatoes.com/;0.246418;0.299867
https://www.foxnews.com/;0.150396;0.181368
https://www.netflix.com/ua/;1.526663;2.373847
https://play.google.com/store;0.181071;0.856999
https://www.imdb.com/;0.407344;0.548552
https://www.youtube.com/;0.182521;0.513767
https://www.youtube.com/;0.170306;0.562867
https://www.amazon.com/;Null;0.202234
https://www.google.com/;0.180717;0.186005
https://www.wiktionary.org/;0.190867;0.195096
https://steamcommunity.com/;0.971348;1.021339
https://rottentomatoes.com/;0.181714;0.234337
https://www.foxnews.com/;0.127751;0.159304
https://www.netflix.com/ua/;0.640289;0.776937
https://play.google.com/store;0.226535;0.734747
https://www.imdb.com/;0.431824;0.543025
https://www.youtube.com/;0.197222;1.032178
https://www.youtube.com/;0.177411;0.443833
https://www.amazon.com/;Null;0.401084
https://www.google.com/;0.192779;0.198647
https://www.wiktionary.org/;0.192688;0.19895
https://steamcommunity.com/;0.320963;0.327101
https://rottentomatoes.com/;0.223587;0.276878
https://www.foxnews.com/;0.12954;0.161838
https://www.netflix.com/ua/;0.746542;0.88152
https://play.google.com/store;0.195489;0.680072
https://www.imdb.com/;0.465223;0.569382
https://www.youtube.com/;0.184466;0.462762
https://www.youtube.com/;0.179029;0.424685
https://www.amazon.com/;Null;1.012024
https://www.google.com/;0.229555;0.235796
https://www.wiktionary.org/;0.247043;0.253417
https://steamcommunity.com/;0.358039;0.364128
https://rottentomatoes.com/;0.253143;0.314666
https://www.foxnews.com/;0.329489;0.365897
https://www.netflix.com/ua/;0.584258;0.709253
https://play.google.com/store;0.187082;0.523479
https://www.imdb.com/;0.516893;0.658741
https://www.youtube.com/;0.189467;0.560788
https://www.youtube.com/;0.188726;1.256605
https://www.amazon.com/;Null;0.238927
https://www.google.com/;0.194372;0.200522
https://www.wiktionary.org/;0.193536;0.199542
https://steamcommunity.com/;0.341045;0.34754
https://rottentomatoes.com/;0.192981;0.246414
https://www.foxnews.com/;0.130092;0.163786
https://www.netflix.com/ua/;0.525083;0.664703
https://play.google.com/store;0.197897;0.624057
https://www.imdb.com/;0.463355;0.672237
https://www.youtube.com/;0.182214;1.158432
https://www.youtube.com/;0.182135;0.464685
https://www.amazon.com/;Null;0.237777
https://www.google.com/;0.198061;0.204843
https://www.wiktionary.org/;0.193882;0.199269
https://steamcommunity.com/;0.324329;0.331211
https://rottentomatoes.com/;0.187124;0.239979
https://www.foxnews.com/;0.123758;0.157362
https://www.netflix.com/ua/;0.632241;0.763268
https://play.google.com/store;0.188877;0.598141
https://www.imdb.com/;0.42574;0.626156
https://www.youtube.com/;0.1884;0.431305
https://www.youtube.com/;0.191315;0.494043
https://www.amazon.com/;Null;0.234761
https://www.google.com/;0.208563;0.214971
https://www.wiktionary.org/;0.195033;0.201315
https://steamcommunity.com/;0.319445;0.325915
https://rottentomatoes.com/;0.239484;0.29198
https://www.foxnews.com/;0.126487;0.159915
https://www.netflix.com/ua/;0.53379;0.67106
https://play.google.com/store;0.204151;0.518409
https://www.imdb.com/;0.427914;0.53258
https://www.youtube.com/;0.18638;0.463949
https://www.youtube.com/;0.194344;0.451384
https://www.amazon.com/;Null;0.239686
https://www.google.com/;0.196169;0.202214
https://www.wiktionary.org/;0.191793;0.198766
https://steamcommunity.com/;0.35671;0.361528
